date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:15:57	3071/3071	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5f0-bff%22	https://preview.uideck.com/items/core/assets/images/service-icon-2.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/service-icon-2.svg	(from https://preview.uideck.com/items/core/)
21:15:59	2402/2402	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5ec-962%22	https://preview.uideck.com/items/core/assets/images/service-icon-3.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/service-icon-3.svg	(from https://preview.uideck.com/items/core/)
21:16:00	4589/4589	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5f6-11ed%22	https://preview.uideck.com/items/core/assets/images/service-icon-4.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/service-icon-4.svg	(from https://preview.uideck.com/items/core/)
21:16:01	3393/3393	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5f4-d41%22	https://preview.uideck.com/items/core/assets/images/service-icon-5.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/service-icon-5.svg	(from https://preview.uideck.com/items/core/)
21:16:02	2532/2532	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5f7-9e4%22	https://preview.uideck.com/items/core/assets/images/service-icon-6.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/service-icon-6.svg	(from https://preview.uideck.com/items/core/)
21:16:04	1219/1219	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5f5-4c3%22	https://preview.uideck.com/items/core/assets/images/pricing-icon-1.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/pricing-icon-1.svg	(from https://preview.uideck.com/items/core/)
21:16:05	1482/1482	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5f9-5ca%22	https://preview.uideck.com/items/core/assets/images/pricing-icon-2.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/pricing-icon-2.svg	(from https://preview.uideck.com/items/core/)
21:16:06	4261/4261	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5f8-10a5%22	https://preview.uideck.com/items/core/assets/images/pricing-icon-3.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/pricing-icon-3.svg	(from https://preview.uideck.com/items/core/)
21:16:07	482/482	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5fd-1e2%22	https://preview.uideck.com/items/core/assets/images/testimonial-shape-1.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/testimonial-shape-1.svg	(from https://preview.uideck.com/items/core/)
21:16:09	7563/7563	---M--	200	added ('OK')	image/jpeg	etag:%225dc9a603-1d8b%22	https://preview.uideck.com/items/core/assets/images/author-2.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-2.jpg	(from https://preview.uideck.com/items/core/)
21:16:10	8946/8946	---M--	200	added ('OK')	image/jpeg	etag:%225dc9a604-22f2%22	https://preview.uideck.com/items/core/assets/images/author-3.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-3.jpg	(from https://preview.uideck.com/items/core/)
21:16:11	12035/12035	---M--	200	added ('OK')	image/jpeg	etag:%225dc9a607-2f03%22	https://preview.uideck.com/items/core/assets/images/author-4.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-4.jpg	(from https://preview.uideck.com/items/core/)
21:16:11	6213/6213	---M--	200	added ('OK')	image/jpeg	etag:%225dc9a608-1845%22	https://preview.uideck.com/items/core/assets/images/author-5.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-5.jpg	(from https://preview.uideck.com/items/core/)
21:16:13	7089/7089	---M--	200	added ('OK')	image/jpeg	etag:%225dc9a606-1bb1%22	https://preview.uideck.com/items/core/assets/images/author-6.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-6.jpg	(from https://preview.uideck.com/items/core/)
21:16:14	558/558	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a604-22e%22	https://preview.uideck.com/items/core/assets/images/quote.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/quote.svg	(from https://preview.uideck.com/items/core/)
21:16:15	7683/7683	---M--	200	added ('OK')	image/jpeg	etag:%225dc9a601-1e03%22	https://preview.uideck.com/items/core/assets/images/author-1.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/author-1.jpg	(from https://preview.uideck.com/items/core/)
21:16:16	19988/19988	---M--	200	added ('OK')	image/jpeg	etag:%225dc9a5fe-4e14%22	https://preview.uideck.com/items/core/assets/images/blog-1.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/blog-1.jpg	(from https://preview.uideck.com/items/core/)
21:16:17	26546/26546	---M--	200	added ('OK')	image/jpeg	etag:%225dc9a600-67b2%22	https://preview.uideck.com/items/core/assets/images/blog-2.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/blog-2.jpg	(from https://preview.uideck.com/items/core/)
21:16:18	18196/18196	---M--	200	added ('OK')	image/jpeg	etag:%225dc9a5fe-4714%22	https://preview.uideck.com/items/core/assets/images/blog-3.jpg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/blog-3.jpg	(from https://preview.uideck.com/items/core/)
21:16:19	47210/47210	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a5eb-b86a%22	https://preview.uideck.com/items/core/assets/images/contact.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/contact.svg	(from https://preview.uideck.com/items/core/)
21:16:21	392/392	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a603-188%22	https://preview.uideck.com/items/core/assets/images/footer-shape-1.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/footer-shape-1.svg	(from https://preview.uideck.com/items/core/)
21:16:22	1598/1598	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a606-63e%22	https://preview.uideck.com/items/core/assets/images/logo.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/logo.svg	(from https://preview.uideck.com/items/core/)
21:16:23	403/403	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225dc9a601-193%22	https://preview.uideck.com/items/core/assets/images/footer-shape-2.svg	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/images/footer-shape-2.svg	(from https://preview.uideck.com/items/core/)
21:16:24	1239/1239	---MCZ	200	added ('OK')	application/javascript	etag:W/%226047499b-4d7%22	https://preview.uideck.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	/home/parth/websites/parth1/preview.uideck.com/cdn-cgi/scripts/5c5dd728/cloudflare-static/email-decode.min.js	(from https://preview.uideck.com/items/core/)
21:16:28	97163/97163	---MCZ	200	added ('OK')	application/javascript	etag:W/%225dc9a624-17b8b%22	https://preview.uideck.com/items/core/assets/js/vendor/jquery-1.12.4.min.js	/home/parth/websites/parth1/preview.uideck.com/items/core/assets/js/vendor/jquery-1.12.4.min.js	(from https://preview.uideck.com/items/core/)
